
2022/12/03 (18:23:43) | ===> btop++ v.1.2.3
2022/12/03 (18:23:43) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/12/03 (18:26:05) | ===> btop++ v.1.2.3
2022/12/03 (18:26:05) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/03 (18:28:54) | ===> btop++ v.1.2.3
2022/12/03 (18:28:54) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/04 (10:40:10) | ===> btop++ v.1.2.3
2022/12/04 (10:40:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/04 (12:23:08) | ===> btop++ v.1.2.3
2022/12/04 (12:23:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/04 (19:16:19) | ===> btop++ v.1.2.3
2022/12/04 (19:16:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/05 (16:51:44) | ===> btop++ v.1.2.3
2022/12/05 (16:51:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/05 (17:04:48) | ===> btop++ v.1.2.3
2022/12/05 (17:04:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/06 (19:59:44) | ===> btop++ v.1.2.3
2022/12/06 (19:59:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/10 (08:53:38) | ===> btop++ v.1.2.3
2022/12/10 (08:53:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/11 (20:54:18) | ===> btop++ v.1.2.3
2022/12/11 (20:54:18) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/13 (09:41:34) | ===> btop++ v.1.2.3
2022/12/13 (09:41:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/14 (12:28:42) | ===> btop++ v.1.2.3
2022/12/14 (12:28:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/16 (07:41:51) | ===> btop++ v.1.2.3
2022/12/16 (07:41:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/21 (20:56:35) | ===> btop++ v.1.2.3
2022/12/21 (20:56:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/21 (21:01:13) | ===> btop++ v.1.2.3
2022/12/21 (21:01:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/22 (16:21:34) | ===> btop++ v.1.2.3
2022/12/22 (16:21:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
